auth,title,pub,month,day,year,link,quote.cite,work.cited
Eric Cortellessa,"It's not just Trump. Governors are keeping their businesses while in office, too",Washington Post,January,17,2020,https://www.washingtonpost.com/outlook/its-not-just-trump-governors-are-keeping-their-businesses-while-in-office-too/2020/01/16/66ffdb46-3808-11ea-bb7b-265f4554af6d_story.html#click=https://t.co/M1lrrfczQX,1,0
Kevin Sack and Patricia Mazzei,"To Avoid Conflicts, Rick Scott Created a Blind Trust in Name Only",New York Times,October,17,2018,https://www.nytimes.com/2018/10/17/us/rick-scott-conflicts-blind-trust.html,0,1
Ken Ward Jr.,Lawmakers Call for Ethics Reform to Deal With Billionaire Resort-Owning Governor,ProPublica,August,21,2019,https://www.propublica.org/article/lawmakers-call-for-ethics-reform-to-deal-with-billionaire-resort-owning-governor,1,0
David Montgomery,"To Reign in Cities, Texas Tries to Ban Their Lobbying",Pew Stateline,September,17,2019,https://stateline.org/2019/09/17/to-rein-in-cities-texas-tries-to-ban-their-lobbying/,0,1
Press Release,Learning and serving - P3E students report on research projects across Michigan,Ford School News,July,16,2021,https://fordschool.umich.edu/news/2021/learning-and-serving-p3e-students-report-research-projects-across-michigan,1,0
Greg Bishop,Should IL AG Have More Power to Investigate Corruption?,Illinois Radio Network,February,5,2020,,1,0
Greg Bishop,More Talk About Conflicts of Interest,WBGZ Radio,February,1,2020,,1,0
Peter Hancock,"Advocates urge stricter rules on conflicts of interest, financial disclosure",The Telegraph,January,31,2020,https://www.thetelegraph.com/news/article/Advocates-urge-stricter-rules-on-conflicts-of-15020605.php,1,0
Peter Hancock,Illinois ethics laws among the weakest in the nation,NewsTribune,January,31,2020,,1,0
Greg Bishop,Illinois lawmakers hear more about how to address conflicts of interest in state government,The Center Square,January,31,2020,https://www.thecentersquare.com/illinois/illinois-lawmakers-hear-more-about-how-to-address-conflicts-of/article_38c50584-43a8-11ea-859d-f7a38267e41e.html,1,0
Dave Dahl,Commission says the problems are not confined to Springfield,WJBC,January,31,2020,https://www.wjbc.com/2020/01/31/commission-says-the-problems-are-not-confined-to-springfield/,1,0
Rich Miller,Not as easy as it looks,Capitol Fax,January,31,2020,https://capitolfax.com/2020/01/31/not-as-easy-as-it-looks-2/,1,0
Mike Miletich,"Illinois ethics commission addresses conflicts of interest, closing the 'revolving door'",WGEM,January,30,2020,,1,0
Melissa Santos,WA lawmaker just quit to lobby for Amazon. Most states wouldn't allow that,Crosscut,May,28,2019,https://www.cascadepbs.org/politics/2019/05/wa-lawmaker-just-quit-lobby-amazon-most-states-wouldnt-allow,1,0
Jonathan Oosting,Outgoing state officials turn to lobbying under lax Michigan rules,The Detroit News,January,23,2019,https://www.detroitnews.com/story/news/politics/2019/01/23/outgoing-state-officials-turn-lobbying-under-lax-michigan-rules/2616196002/,1,0
Michael R. Wickline,Arkansas legislators report loans among peers,Northwest Arkansas Democrat Gazette,September,23,2018,https://www.nwaonline.com/news/2018/sep/23/legislators-report-loans-among-peers-20/,1,0
Madeline Will,In These Few States Teachers Are Not Allowed to Serve in the State Legislature,Education Week,August,10,2018,https://www.edweek.org/leadership/in-these-few-states-teachers-are-not-allowed-to-serve-in-the-state-legislature/2018/08,1,0
Dalton Kingery,"Traffic Court modernizes, offers chance to appeal tickets",The University Daily Kansan,August,28,2014,https://www.kansan.com/news/ku-traffic-court-modernizes-offers-chance-to-appeal-tickets/article_fd3656ba-2e79-11e4-beef-001a4bcf887a.html,1,0
Marie C. Dillon and Joann Wong,The BGA's Ethics Agenda: Let's Get Serious About Ending Corruption in Illinois.,Better Government Association,September,8,2020,,0,1
Austin Jenkins,"In Washington, the revolving door between government service and lobbying is well-greased.",Oregon Public Broadcasting,September,2,2020,https://www.opb.org/article/2020/09/02/washington-state-government-officials-lobbying-revolving-door/,0,1
Staff,"Voters might decide emergency checks, balances",The Daily Item,July,17,2020,https://www.dailyitem.com/opinion/voters-might-decide-emergency-checks-balances/article_83d3db3a-4dbb-554d-85a0-845b77e54c2a.html,0,1
John Frank,Colorado lawmakers won't be required to wear masks at Capitol when legislative session resumes,The Colorado Sun,May,19,2020,https://coloradosun.com/2020/05/19/colorado-lawmakers-mask-coronavirus/,0,1
Malachi Barrett,Ballot language approved for proposal to 'change the culture' of lobbying in Michigan,MLive,February,19,2020,https://www.mlive.com/public-interest/2020/02/ballot-language-approved-for-proposal-to-change-the-culture-of-lobbying-in-michigan.html,0,1
Michael Gormley,"Gov. Andrew M. Cuomo: Top state, local elected officials should release tax returns",Newsday,February,12,2020,,0,1
Bruce Rushton,Lawmakers hear calls for ethics reform,Illinois Times,February,6,2020,https://www.illinoistimes.com/news-opinion/lawmakers-hear-calls-for-ethics-reform-11785557,0,1
