is.lawj,is.policyj,am.author,authors,publication,volume,year,monthorseason,page.start,page.end,title,is.mag,is.legisbrief,is.pod,is.50statesurvey,is.blog,is.thinktank,notes
0,1,0,Melissa Tier,Princeton Journal of Public and International Affairs,32,2021,,,,Overcoming Contemporary Reform Failure of the National Flood Insurance Program to Accelerate Just Climate Transitions,0,0,0,0,0,0,credited research or editing contributions only
1,0,0,Virginia Harper Ho,Villanova Law Review,65,2020,,,,Disclosure Overload? Lessons for Risk Disclosure & ESG Reporting Reform from the Regulation S-K Concept Release,0,0,0,0,0,0,credited research or editing contributions only
1,0,0,Corey Yung,Boston College Law Review,58,2017,,205,256,Rape Law Gatekeeping,0,0,0,0,0,0,credited research or editing contributions only
1,0,0,Caleb Hall,Tulane Environmental Law Journal,30,2016,,85,109,A Right Most Dear: The Case for a Constitutional Environmental Right,0,0,0,0,0,0,credited research or editing contributions only
1,0,0,Uma Outka,Case Western Reserve Journal of International Law,48,2016,,109,125,The Obama Administration’s Clean Air Act Legacy and the UNFCC,0,0,0,0,0,0,credited research or editing contributions only
0,0,1,Nicholas Birdsong,State Legislatures Magazine,,2020,February,,,What's (un)ethical about lobbying?,1,0,0,0,0,0,
0,0,1,Nicholas Birdsong,State Legislatures Magazine,,2019,November,,,Should Payment for Legislative Testimony Be Disclosed?,1,0,0,0,0,0,
0,0,1,Nicholas Birdsong,State Legislatures Magazine,,2019,September,,,How does separation of powers relate to ethics?,1,0,0,0,0,0,
0,0,1,Nicholas Birdsong,State Legislatures Magazine,,2019,July,,,Is there an ethical duty to be civil to our rivals?,1,0,0,0,0,0,
0,0,1,Nicholas Birdsong,State Legislatures Magazine,,2019,May,,,What does ‘due process’ really mean?,1,0,0,0,0,0,
0,0,1,Nicholas Birdsong,State Legislatures Magazine,,2019,March,,,What can you do about social media trolls?,1,0,0,0,0,0,
0,0,1,Nicholas Birdsong,State Legislatures Magazine,,2019,January,,,Is it better to be ethical or appear ethical?,1,0,0,0,0,0,
0,0,1,Nicholas Birdsong,State Legislatures Magazine,,2019,November,,,What about that second job?,1,0,0,0,0,0,
